[34m[1mwandb[0m: Detected [huggingface_hub.inference, openai] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai/
                                                                                                                                         
{'loss': 4.2311, 'grad_norm': 138.0, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.2762, 'grad_norm': 14.1875, 'learning_rate': 1.991353082465973e-05, 'epoch': 0.01}
{'loss': 0.3326, 'grad_norm': 16.125, 'learning_rate': 1.991032826261009e-05, 'epoch': 0.01}
{'loss': 0.2699, 'grad_norm': 14.1875, 'learning_rate': 1.990712570056045e-05, 'epoch': 0.01}
{'loss': 0.2894, 'grad_norm': 17.0, 'learning_rate': 1.990392313851081e-05, 'epoch': 0.01}
{'loss': 0.2563, 'grad_norm': 11.1875, 'learning_rate': 1.990072057646117e-05, 'epoch': 0.01}
{'loss': 0.2803, 'grad_norm': 13.0, 'learning_rate': 1.989751801441153e-05, 'epoch': 0.01}
{'loss': 0.3026, 'grad_norm': 23.75, 'learning_rate': 1.989431545236189e-05, 'epoch': 0.01}
{'loss': 0.4182, 'grad_norm': 41.0, 'learning_rate': 1.989111289031225e-05, 'epoch': 0.01}
{'loss': 0.2869, 'grad_norm': 13.25, 'learning_rate': 1.988791032826261e-05, 'epoch': 0.01}
{'loss': 0.3081, 'grad_norm': 22.875, 'learning_rate': 1.9884707766212972e-05, 'epoch': 0.01}
{'loss': 0.2883, 'grad_norm': 17.375, 'learning_rate': 1.9881505204163332e-05, 'epoch': 0.01}
{'loss': 0.2653, 'grad_norm': 19.125, 'learning_rate': 1.9878302642113693e-05, 'epoch': 0.01}
{'loss': 0.3081, 'grad_norm': 25.625, 'learning_rate': 1.9875100080064053e-05, 'epoch': 0.01}
{'loss': 0.2902, 'grad_norm': 22.0, 'learning_rate': 1.9871897518014414e-05, 'epoch': 0.01}
{'loss': 0.2782, 'grad_norm': 14.5, 'learning_rate': 1.9868694955964774e-05, 'epoch': 0.01}
{'loss': 0.3251, 'grad_norm': 18.0, 'learning_rate': 1.9865492393915135e-05, 'epoch': 0.01}
{'loss': 0.2686, 'grad_norm': 14.375, 'learning_rate': 1.9862289831865492e-05, 'epoch': 0.01}
{'loss': 0.3082, 'grad_norm': 18.75, 'learning_rate': 1.9859087269815852e-05, 'epoch': 0.01}
{'loss': 0.3322, 'grad_norm': 17.25, 'learning_rate': 1.9855884707766216e-05, 'epoch': 0.01}
{'loss': 0.3375, 'grad_norm': 22.5, 'learning_rate': 1.9852682145716577e-05, 'epoch': 0.01}
{'loss': 0.4432, 'grad_norm': 40.5, 'learning_rate': 1.9849479583666934e-05, 'epoch': 0.01}
{'loss': 0.4588, 'grad_norm': 50.25, 'learning_rate': 1.9846277021617294e-05, 'epoch': 0.01}
{'loss': 0.2682, 'grad_norm': 11.5625, 'learning_rate': 1.9843074459567655e-05, 'epoch': 0.01}
{'loss': 0.2816, 'grad_norm': 12.0625, 'learning_rate': 1.983987189751802e-05, 'epoch': 0.01}
{'loss': 0.2696, 'grad_norm': 10.4375, 'learning_rate': 1.9836669335468376e-05, 'epoch': 0.01}
{'loss': 0.312, 'grad_norm': 23.125, 'learning_rate': 1.9833466773418736e-05, 'epoch': 0.01}
{'loss': 0.3094, 'grad_norm': 23.0, 'learning_rate': 1.9830264211369097e-05, 'epoch': 0.01}
{'loss': 0.2907, 'grad_norm': 8.875, 'learning_rate': 1.9827061649319457e-05, 'epoch': 0.01}
{'loss': 0.3093, 'grad_norm': 16.375, 'learning_rate': 1.9823859087269818e-05, 'epoch': 0.01}
{'loss': 0.3244, 'grad_norm': 15.6875, 'learning_rate': 1.9820656525220178e-05, 'epoch': 0.01}
{'loss': 0.3099, 'grad_norm': 17.0, 'learning_rate': 1.981745396317054e-05, 'epoch': 0.01}
{'loss': 0.3152, 'grad_norm': 10.125, 'learning_rate': 1.98142514011209e-05, 'epoch': 0.01}
{'loss': 0.2708, 'grad_norm': 12.5625, 'learning_rate': 1.981104883907126e-05, 'epoch': 0.01}
{'loss': 0.2837, 'grad_norm': 12.9375, 'learning_rate': 1.980784627702162e-05, 'epoch': 0.01}
{'loss': 0.2841, 'grad_norm': 9.5, 'learning_rate': 1.9804643714971977e-05, 'epoch': 0.01}
{'loss': 0.2796, 'grad_norm': 13.0625, 'learning_rate': 1.980144115292234e-05, 'epoch': 0.01}
{'loss': 0.3249, 'grad_norm': 10.8125, 'learning_rate': 1.97982385908727e-05, 'epoch': 0.01}
{'loss': 0.246, 'grad_norm': 12.4375, 'learning_rate': 1.9795036028823062e-05, 'epoch': 0.01}
{'loss': 0.2949, 'grad_norm': 11.375, 'learning_rate': 1.979183346677342e-05, 'epoch': 0.01}
{'loss': 0.3009, 'grad_norm': 12.75, 'learning_rate': 1.978863090472378e-05, 'epoch': 0.01}
{'loss': 0.2537, 'grad_norm': 7.3125, 'learning_rate': 1.978542834267414e-05, 'epoch': 0.01}
{'loss': 0.2399, 'grad_norm': 9.1875, 'learning_rate': 1.9782225780624504e-05, 'epoch': 0.01}
{'loss': 0.2996, 'grad_norm': 7.875, 'learning_rate': 1.977902321857486e-05, 'epoch': 0.01}
{'loss': 0.2602, 'grad_norm': 14.125, 'learning_rate': 1.977582065652522e-05, 'epoch': 0.01}
{'loss': 0.2815, 'grad_norm': 8.0, 'learning_rate': 1.9772618094475582e-05, 'epoch': 0.01}
{'loss': 0.2613, 'grad_norm': 9.3125, 'learning_rate': 1.9769415532425942e-05, 'epoch': 0.01}
{'loss': 0.26, 'grad_norm': 7.9375, 'learning_rate': 1.9766212970376303e-05, 'epoch': 0.01}
{'loss': 0.2861, 'grad_norm': 15.625, 'learning_rate': 1.9763010408326663e-05, 'epoch': 0.01}
{'loss': 0.3014, 'grad_norm': 13.8125, 'learning_rate': 1.9759807846277024e-05, 'epoch': 0.01}
{'loss': 0.2752, 'grad_norm': 7.8125, 'learning_rate': 1.9756605284227384e-05, 'epoch': 0.01}
{'loss': 0.3313, 'grad_norm': 23.875, 'learning_rate': 1.9753402722177745e-05, 'epoch': 0.01}
{'loss': 0.2903, 'grad_norm': 10.125, 'learning_rate': 1.9750200160128102e-05, 'epoch': 0.01}
{'loss': 0.2938, 'grad_norm': 14.625, 'learning_rate': 1.9746997598078462e-05, 'epoch': 0.01}
{'loss': 0.2997, 'grad_norm': 8.4375, 'learning_rate': 1.9743795036028826e-05, 'epoch': 0.01}
{'loss': 0.2924, 'grad_norm': 9.125, 'learning_rate': 1.9740592473979187e-05, 'epoch': 0.01}
{'loss': 0.2695, 'grad_norm': 12.5, 'learning_rate': 1.9737389911929544e-05, 'epoch': 0.01}
{'loss': 0.3052, 'grad_norm': 18.5, 'learning_rate': 1.9734187349879904e-05, 'epoch': 0.01}
{'loss': 0.2996, 'grad_norm': 8.6875, 'learning_rate': 1.9730984787830265e-05, 'epoch': 0.01}
{'loss': 0.2553, 'grad_norm': 8.75, 'learning_rate': 1.9727782225780625e-05, 'epoch': 0.01}
{'loss': 0.3056, 'grad_norm': 9.6875, 'learning_rate': 1.9724579663730986e-05, 'epoch': 0.01}
{'loss': 0.3003, 'grad_norm': 12.25, 'learning_rate': 1.9721377101681346e-05, 'epoch': 0.01}
{'loss': 0.3075, 'grad_norm': 13.4375, 'learning_rate': 1.9718174539631707e-05, 'epoch': 0.02}
{'loss': 0.3727, 'grad_norm': 33.0, 'learning_rate': 1.9714971977582067e-05, 'epoch': 0.02}
{'loss': 0.2403, 'grad_norm': 9.0625, 'learning_rate': 1.9711769415532428e-05, 'epoch': 0.02}
{'loss': 0.2722, 'grad_norm': 10.6875, 'learning_rate': 1.9708566853482788e-05, 'epoch': 0.02}
{'loss': 0.2913, 'grad_norm': 11.0, 'learning_rate': 1.970536429143315e-05, 'epoch': 0.02}
{'loss': 0.3372, 'grad_norm': 20.875, 'learning_rate': 1.970216172938351e-05, 'epoch': 0.02}
{'loss': 0.3438, 'grad_norm': 14.0, 'learning_rate': 1.969895916733387e-05, 'epoch': 0.02}
{'loss': 0.244, 'grad_norm': 13.6875, 'learning_rate': 1.969575660528423e-05, 'epoch': 0.02}
{'loss': 0.331, 'grad_norm': 21.0, 'learning_rate': 1.9692554043234587e-05, 'epoch': 0.02}
{'loss': 0.2615, 'grad_norm': 8.8125, 'learning_rate': 1.968935148118495e-05, 'epoch': 0.02}
{'loss': 0.3564, 'grad_norm': 24.875, 'learning_rate': 1.968614891913531e-05, 'epoch': 0.02}
{'loss': 0.272, 'grad_norm': 9.5625, 'learning_rate': 1.9682946357085672e-05, 'epoch': 0.02}
{'loss': 0.3102, 'grad_norm': 12.6875, 'learning_rate': 1.967974379503603e-05, 'epoch': 0.02}
{'loss': 0.2851, 'grad_norm': 9.1875, 'learning_rate': 1.967654123298639e-05, 'epoch': 0.02}
{'loss': 0.296, 'grad_norm': 22.75, 'learning_rate': 1.967333867093675e-05, 'epoch': 0.02}
{'loss': 0.2694, 'grad_norm': 7.75, 'learning_rate': 1.9670136108887114e-05, 'epoch': 0.02}
{'loss': 0.2719, 'grad_norm': 14.25, 'learning_rate': 1.966693354683747e-05, 'epoch': 0.02}
{'loss': 0.3233, 'grad_norm': 11.9375, 'learning_rate': 1.966373098478783e-05, 'epoch': 0.02}
{'loss': 0.3152, 'grad_norm': 28.75, 'learning_rate': 1.9660528422738192e-05, 'epoch': 0.02}
{'loss': 0.327, 'grad_norm': 9.5, 'learning_rate': 1.9657325860688552e-05, 'epoch': 0.02}
{'loss': 0.2748, 'grad_norm': 8.0625, 'learning_rate': 1.9654123298638913e-05, 'epoch': 0.02}
{'loss': 0.2576, 'grad_norm': 9.625, 'learning_rate': 1.9650920736589273e-05, 'epoch': 0.02}
{'loss': 0.3008, 'grad_norm': 9.5, 'learning_rate': 1.9647718174539634e-05, 'epoch': 0.02}
{'loss': 0.3134, 'grad_norm': 9.75, 'learning_rate': 1.9644515612489994e-05, 'epoch': 0.02}
{'loss': 0.2647, 'grad_norm': 15.0, 'learning_rate': 1.9641313050440355e-05, 'epoch': 0.02}
{'loss': 0.2368, 'grad_norm': 8.4375, 'learning_rate': 1.9638110488390715e-05, 'epoch': 0.02}
{'loss': 0.3796, 'grad_norm': 22.75, 'learning_rate': 1.9634907926341072e-05, 'epoch': 0.02}
{'loss': 0.2335, 'grad_norm': 13.3125, 'learning_rate': 1.9631705364291436e-05, 'epoch': 0.02}
{'loss': 0.3125, 'grad_norm': 11.1875, 'learning_rate': 1.9628502802241797e-05, 'epoch': 0.02}
{'loss': 0.2547, 'grad_norm': 9.125, 'learning_rate': 1.9625300240192157e-05, 'epoch': 0.02}
{'loss': 0.2894, 'grad_norm': 8.75, 'learning_rate': 1.9622097678142514e-05, 'epoch': 0.02}
{'loss': 0.3671, 'grad_norm': 22.25, 'learning_rate': 1.9618895116092875e-05, 'epoch': 0.02}
{'loss': 0.3606, 'grad_norm': 17.375, 'learning_rate': 1.9615692554043235e-05, 'epoch': 0.02}
{'loss': 0.3039, 'grad_norm': 8.9375, 'learning_rate': 1.96124899919936e-05, 'epoch': 0.02}
{'loss': 0.309, 'grad_norm': 15.4375, 'learning_rate': 1.9609287429943956e-05, 'epoch': 0.02}
{'loss': 0.2465, 'grad_norm': 8.625, 'learning_rate': 1.9606084867894316e-05, 'epoch': 0.02}
{'loss': 0.2631, 'grad_norm': 8.0625, 'learning_rate': 1.9602882305844677e-05, 'epoch': 0.02}
{'loss': 0.3138, 'grad_norm': 10.5625, 'learning_rate': 1.9599679743795037e-05, 'epoch': 0.02}
{'loss': 0.2806, 'grad_norm': 9.375, 'learning_rate': 1.9596477181745398e-05, 'epoch': 0.02}
{'loss': 0.3107, 'grad_norm': 9.5, 'learning_rate': 1.959327461969576e-05, 'epoch': 0.02}
{'loss': 0.3882, 'grad_norm': 23.875, 'learning_rate': 1.959007205764612e-05, 'epoch': 0.02}
{'loss': 0.327, 'grad_norm': 8.6875, 'learning_rate': 1.958686949559648e-05, 'epoch': 0.02}
{'loss': 0.2791, 'grad_norm': 10.9375, 'learning_rate': 1.958366693354684e-05, 'epoch': 0.02}
{'loss': 0.3158, 'grad_norm': 19.375, 'learning_rate': 1.95804643714972e-05, 'epoch': 0.02}
{'loss': 0.3486, 'grad_norm': 16.375, 'learning_rate': 1.9577261809447557e-05, 'epoch': 0.02}
{'loss': 0.303, 'grad_norm': 12.0, 'learning_rate': 1.957405924739792e-05, 'epoch': 0.02}
{'loss': 0.2819, 'grad_norm': 7.65625, 'learning_rate': 1.9570856685348282e-05, 'epoch': 0.02}
{'loss': 0.2627, 'grad_norm': 6.53125, 'learning_rate': 1.9567654123298642e-05, 'epoch': 0.02}
{'loss': 0.2745, 'grad_norm': 6.28125, 'learning_rate': 1.9564451561249e-05, 'epoch': 0.02}
{'loss': 0.2891, 'grad_norm': 10.5, 'learning_rate': 1.956124899919936e-05, 'epoch': 0.02}
{'loss': 0.2049, 'grad_norm': 10.5625, 'learning_rate': 1.955804643714972e-05, 'epoch': 0.02}
{'loss': 0.2722, 'grad_norm': 8.6875, 'learning_rate': 1.955484387510008e-05, 'epoch': 0.02}
{'loss': 0.3033, 'grad_norm': 13.75, 'learning_rate': 1.955164131305044e-05, 'epoch': 0.02}
{'loss': 0.388, 'grad_norm': 27.5, 'learning_rate': 1.95484387510008e-05, 'epoch': 0.02}
{'loss': 0.2699, 'grad_norm': 6.90625, 'learning_rate': 1.9545236188951162e-05, 'epoch': 0.02}
{'loss': 0.2789, 'grad_norm': 8.125, 'learning_rate': 1.9542033626901523e-05, 'epoch': 0.02}
{'loss': 0.3678, 'grad_norm': 21.125, 'learning_rate': 1.9538831064851883e-05, 'epoch': 0.02}
{'loss': 0.2865, 'grad_norm': 6.90625, 'learning_rate': 1.9535628502802244e-05, 'epoch': 0.02}
{'loss': 0.2405, 'grad_norm': 8.1875, 'learning_rate': 1.9532425940752604e-05, 'epoch': 0.02}
{'loss': 0.2906, 'grad_norm': 7.125, 'learning_rate': 1.9529223378702965e-05, 'epoch': 0.02}
{'loss': 0.2661, 'grad_norm': 11.4375, 'learning_rate': 1.9526020816653325e-05, 'epoch': 0.02}
{'loss': 0.2904, 'grad_norm': 10.0, 'learning_rate': 1.9522818254603682e-05, 'epoch': 0.02}
{'loss': 0.2858, 'grad_norm': 7.3125, 'learning_rate': 1.9519615692554046e-05, 'epoch': 0.02}
{'loss': 0.285, 'grad_norm': 15.375, 'learning_rate': 1.9516413130504406e-05, 'epoch': 0.03}
{'loss': 0.2715, 'grad_norm': 8.25, 'learning_rate': 1.9513210568454767e-05, 'epoch': 0.03}
{'loss': 0.3383, 'grad_norm': 22.875, 'learning_rate': 1.9510008006405124e-05, 'epoch': 0.03}
{'loss': 0.3143, 'grad_norm': 15.9375, 'learning_rate': 1.9506805444355484e-05, 'epoch': 0.03}
{'loss': 0.3187, 'grad_norm': 13.6875, 'learning_rate': 1.9503602882305845e-05, 'epoch': 0.03}
{'loss': 0.3163, 'grad_norm': 16.875, 'learning_rate': 1.950040032025621e-05, 'epoch': 0.03}
{'loss': 0.3114, 'grad_norm': 19.0, 'learning_rate': 1.9497197758206566e-05, 'epoch': 0.03}
{'loss': 0.2739, 'grad_norm': 7.6875, 'learning_rate': 1.9493995196156926e-05, 'epoch': 0.03}
{'loss': 0.2981, 'grad_norm': 7.125, 'learning_rate': 1.9490792634107287e-05, 'epoch': 0.03}
{'loss': 0.269, 'grad_norm': 16.375, 'learning_rate': 1.9487590072057647e-05, 'epoch': 0.03}
{'loss': 0.2617, 'grad_norm': 9.25, 'learning_rate': 1.9484387510008008e-05, 'epoch': 0.03}
{'loss': 0.372, 'grad_norm': 27.0, 'learning_rate': 1.9481184947958368e-05, 'epoch': 0.03}
{'loss': 0.3408, 'grad_norm': 20.5, 'learning_rate': 1.947798238590873e-05, 'epoch': 0.03}
{'loss': 0.2897, 'grad_norm': 12.5625, 'learning_rate': 1.947477982385909e-05, 'epoch': 0.03}
{'loss': 0.2966, 'grad_norm': 9.5625, 'learning_rate': 1.947157726180945e-05, 'epoch': 0.03}
{'loss': 0.2917, 'grad_norm': 12.875, 'learning_rate': 1.946837469975981e-05, 'epoch': 0.03}
{'loss': 0.33, 'grad_norm': 16.25, 'learning_rate': 1.9465172137710167e-05, 'epoch': 0.03}
{'loss': 0.2784, 'grad_norm': 6.59375, 'learning_rate': 1.946196957566053e-05, 'epoch': 0.03}
{'loss': 0.2711, 'grad_norm': 10.0625, 'learning_rate': 1.945876701361089e-05, 'epoch': 0.03}
{'loss': 0.3028, 'grad_norm': 14.4375, 'learning_rate': 1.9455564451561252e-05, 'epoch': 0.03}
{'loss': 0.2947, 'grad_norm': 10.25, 'learning_rate': 1.945236188951161e-05, 'epoch': 0.03}
{'loss': 0.2871, 'grad_norm': 6.90625, 'learning_rate': 1.944915932746197e-05, 'epoch': 0.03}
{'loss': 0.3167, 'grad_norm': 7.15625, 'learning_rate': 1.944595676541233e-05, 'epoch': 0.03}
{'loss': 0.2749, 'grad_norm': 14.0625, 'learning_rate': 1.9442754203362694e-05, 'epoch': 0.03}
{'loss': 0.2899, 'grad_norm': 7.34375, 'learning_rate': 1.943955164131305e-05, 'epoch': 0.03}
{'loss': 0.3016, 'grad_norm': 8.75, 'learning_rate': 1.943634907926341e-05, 'epoch': 0.03}
{'loss': 0.3048, 'grad_norm': 9.5625, 'learning_rate': 1.9433146517213772e-05, 'epoch': 0.03}
{'loss': 0.3004, 'grad_norm': 15.0, 'learning_rate': 1.9429943955164133e-05, 'epoch': 0.03}
{'loss': 0.2693, 'grad_norm': 7.125, 'learning_rate': 1.9426741393114493e-05, 'epoch': 0.03}
{'loss': 0.2768, 'grad_norm': 8.0625, 'learning_rate': 1.9423538831064853e-05, 'epoch': 0.03}
{'loss': 0.2708, 'grad_norm': 7.625, 'learning_rate': 1.9420336269015214e-05, 'epoch': 0.03}
{'loss': 0.2686, 'grad_norm': 9.1875, 'learning_rate': 1.9417133706965574e-05, 'epoch': 0.03}
{'loss': 0.3063, 'grad_norm': 11.25, 'learning_rate': 1.9413931144915935e-05, 'epoch': 0.03}
{'loss': 0.2679, 'grad_norm': 12.9375, 'learning_rate': 1.9410728582866295e-05, 'epoch': 0.03}
{'loss': 0.2392, 'grad_norm': 24.25, 'learning_rate': 1.9407526020816652e-05, 'epoch': 0.03}
{'loss': 0.2728, 'grad_norm': 7.34375, 'learning_rate': 1.9404323458767016e-05, 'epoch': 0.03}
{'loss': 0.3225, 'grad_norm': 22.875, 'learning_rate': 1.9401120896717377e-05, 'epoch': 0.03}
{'loss': 0.2841, 'grad_norm': 12.375, 'learning_rate': 1.9397918334667737e-05, 'epoch': 0.03}
{'loss': 0.2976, 'grad_norm': 18.125, 'learning_rate': 1.9394715772618094e-05, 'epoch': 0.03}
{'loss': 0.2575, 'grad_norm': 7.0, 'learning_rate': 1.9391513210568455e-05, 'epoch': 0.03}
{'loss': 0.2826, 'grad_norm': 7.03125, 'learning_rate': 1.938831064851882e-05, 'epoch': 0.03}
{'loss': 0.3479, 'grad_norm': 16.5, 'learning_rate': 1.938510808646918e-05, 'epoch': 0.03}
{'loss': 0.2873, 'grad_norm': 8.625, 'learning_rate': 1.9381905524419536e-05, 'epoch': 0.03}
{'loss': 0.322, 'grad_norm': 12.0625, 'learning_rate': 1.9378702962369897e-05, 'epoch': 0.03}
{'loss': 0.3197, 'grad_norm': 15.5625, 'learning_rate': 1.9375500400320257e-05, 'epoch': 0.03}
{'loss': 0.2885, 'grad_norm': 13.0625, 'learning_rate': 1.9372297838270618e-05, 'epoch': 0.03}
{'loss': 0.3065, 'grad_norm': 21.25, 'learning_rate': 1.9369095276220978e-05, 'epoch': 0.03}
{'loss': 0.2929, 'grad_norm': 7.9375, 'learning_rate': 1.936589271417134e-05, 'epoch': 0.03}
{'loss': 0.3064, 'grad_norm': 14.0, 'learning_rate': 1.93626901521217e-05, 'epoch': 0.03}
{'loss': 0.3215, 'grad_norm': 8.3125, 'learning_rate': 1.935948759007206e-05, 'epoch': 0.03}
{'loss': 0.3277, 'grad_norm': 7.9375, 'learning_rate': 1.935628502802242e-05, 'epoch': 0.03}
{'loss': 0.2909, 'grad_norm': 8.25, 'learning_rate': 1.935308246597278e-05, 'epoch': 0.03}
{'loss': 0.2136, 'grad_norm': 21.0, 'learning_rate': 1.934987990392314e-05, 'epoch': 0.03}
{'loss': 0.3251, 'grad_norm': 11.4375, 'learning_rate': 1.93466773418735e-05, 'epoch': 0.03}
{'loss': 0.2435, 'grad_norm': 6.40625, 'learning_rate': 1.9343474779823862e-05, 'epoch': 0.03}
{'loss': 0.3028, 'grad_norm': 9.75, 'learning_rate': 1.9340272217774222e-05, 'epoch': 0.03}
{'loss': 0.3157, 'grad_norm': 14.1875, 'learning_rate': 1.933706965572458e-05, 'epoch': 0.03}
{'loss': 0.2862, 'grad_norm': 7.25, 'learning_rate': 1.933386709367494e-05, 'epoch': 0.03}
{'loss': 0.2501, 'grad_norm': 7.0, 'learning_rate': 1.9330664531625304e-05, 'epoch': 0.03}
{'loss': 0.282, 'grad_norm': 6.5, 'learning_rate': 1.932746196957566e-05, 'epoch': 0.03}
{'loss': 0.3164, 'grad_norm': 7.40625, 'learning_rate': 1.932425940752602e-05, 'epoch': 0.03}
{'loss': 0.2846, 'grad_norm': 6.53125, 'learning_rate': 1.9321056845476382e-05, 'epoch': 0.03}
{'loss': 0.2772, 'grad_norm': 7.53125, 'learning_rate': 1.9317854283426742e-05, 'epoch': 0.04}
{'loss': 0.2875, 'grad_norm': 12.375, 'learning_rate': 1.9314651721377103e-05, 'epoch': 0.04}
{'loss': 0.2792, 'grad_norm': 7.1875, 'learning_rate': 1.9311449159327463e-05, 'epoch': 0.04}
{'loss': 0.263, 'grad_norm': 10.5, 'learning_rate': 1.9308246597277824e-05, 'epoch': 0.04}
{'loss': 0.2503, 'grad_norm': 6.875, 'learning_rate': 1.9305044035228184e-05, 'epoch': 0.04}
{'loss': 0.2661, 'grad_norm': 10.75, 'learning_rate': 1.9301841473178545e-05, 'epoch': 0.04}
{'loss': 0.3023, 'grad_norm': 6.5625, 'learning_rate': 1.9298638911128905e-05, 'epoch': 0.04}
{'loss': 0.334, 'grad_norm': 13.375, 'learning_rate': 1.9295436349079262e-05, 'epoch': 0.04}
{'loss': 0.2404, 'grad_norm': 10.6875, 'learning_rate': 1.9292233787029626e-05, 'epoch': 0.04}
{'loss': 0.2499, 'grad_norm': 6.5, 'learning_rate': 1.9289031224979987e-05, 'epoch': 0.04}
{'loss': 0.293, 'grad_norm': 8.6875, 'learning_rate': 1.9285828662930347e-05, 'epoch': 0.04}
{'loss': 0.2927, 'grad_norm': 7.5625, 'learning_rate': 1.9282626100880704e-05, 'epoch': 0.04}
{'loss': 0.2671, 'grad_norm': 6.25, 'learning_rate': 1.9279423538831065e-05, 'epoch': 0.04}
{'loss': 0.4174, 'grad_norm': 29.625, 'learning_rate': 1.9276220976781425e-05, 'epoch': 0.04}
{'loss': 0.3137, 'grad_norm': 7.75, 'learning_rate': 1.927301841473179e-05, 'epoch': 0.04}
{'loss': 0.2739, 'grad_norm': 5.96875, 'learning_rate': 1.9269815852682146e-05, 'epoch': 0.04}
{'loss': 0.2585, 'grad_norm': 7.96875, 'learning_rate': 1.9266613290632507e-05, 'epoch': 0.04}
{'loss': 0.2931, 'grad_norm': 12.375, 'learning_rate': 1.9263410728582867e-05, 'epoch': 0.04}
{'loss': 0.2827, 'grad_norm': 18.125, 'learning_rate': 1.9260208166533228e-05, 'epoch': 0.04}
{'loss': 0.2688, 'grad_norm': 8.875, 'learning_rate': 1.9257005604483588e-05, 'epoch': 0.04}
{'loss': 0.2731, 'grad_norm': 9.0, 'learning_rate': 1.925380304243395e-05, 'epoch': 0.04}
{'loss': 0.3108, 'grad_norm': 12.25, 'learning_rate': 1.925060048038431e-05, 'epoch': 0.04}
